experiment,duration_dp,solution_dp,optimal_dp,message_dp,duration_iqcp,solution_iqcp,optimal_iqcp,message_iqcp,duration,solution,optimal,message,duration_miqcp,solution_miqcp,optimal_miqcp,message_miqcp,duration_greedy,solution_greedy,optimal_greedy,message_greedy,n_nodes,solution_rollout,final_damage,time_taken,optimal_rollout,diff_dp_rollout,diff_iqcp_rollout,diff_ilp_rollout,diff_miqcp_rollout,diff_greedy_rollout
35,98.03580522537231,"[-1, 16, 38, 11, 26, 35, 12, 8]",26.0,Done!,1499.5055146217346,"[-1, 21, 17, 11, 38, 39, 9]",26.0,Done!,453.13620591163635,"[-1, 21, 17, 11, 38, 39, 9]",26.0,Done!,86400.13797473907,,,ERROR: Runner exceded the timeout limit,0.005137205123901367,"[-1, 21, 10, 3]",24,Done!,40,"[21, 17, 14, 38, 5, 22]",15,0.38803516500001933,25,-1.0,-1.0,-1.0,,1
36,340.2036747932434,"[-1, 8, 38, 4]",31.0,Done!,59.5187771320343,"[-1, 8, 38, 4]",31.0,Done!,248.6628189086914,"[-1, 27, 38, 21]",31.0,Done!,86400.13342952728,,,ERROR: Runner exceded the timeout limit,0.004706621170043945,"[-1, 27, 38, 21]",31,Done!,40,"[27, 38, 21]",9,0.2426980509999339,31,0.0,0.0,0.0,,0
37,31.145901679992676,"[-1, 2, 7, 27, 38, 26, 29]",31.0,Done!,320.65396547317505,"[-1, 2, 7, 27, 38, 29, 26]",31.0,Done!,293.42856431007385,"[-1, 2, 7, 27, 38, 29, 26]",31.0,Done!,86400.13400745392,,,ERROR: Runner exceded the timeout limit,0.0062503814697265625,"[-1, 7, 27, 0, 8, 14, 33]",26,Done!,40,"[2, 7, 38, 27, 29, 26]",9,0.40570371599983446,31,0.0,0.0,0.0,,5
38,4.963154315948486,"[-1, 2, 5, 22, 13, 8, 9]",25.0,Done!,6913.665274143219,"[-1, 36, 1, 5, 22, 13, 8, 9]",25.0,Done!,546.0800726413727,"[-1, 2, 5, 22, 32, 15]",25.0,Done!,86400.12714886665,,,ERROR: Runner exceded the timeout limit,0.005178213119506836,"[-1, 22, 6, 39]",14,Done!,40,"[2, 5, 22, 13, 9, 8]",15,0.3993763000000854,25,0.0,0.0,0.0,,11
39,79.18813943862915,"[-1, 0, 17, 31, 21, 7, 3]",29.0,Done!,610.8281173706055,"[-1, 0, 32, 17, 23]",29.0,Done!,276.895938873291,"[-1, 0, 32, 17, 23]",29.0,Done!,86400.12603521347,,,ERROR: Runner exceded the timeout limit,0.006103992462158203,"[-1, 0, 32, 17, 23]",29,Done!,40,"[0, 32, 17, 23]",11,0.28511333100004776,29,0.0,0.0,0.0,,0
40,922.6283555030823,"[-1, 4, 14, 20, 23, 5, 16]",33.0,Done!,280.59293842315674,"[-1, 4, 14, 20, 23, 5, 16]",33.0,Done!,412.89148020744324,"[-1, 4, 14, 20, 23, 5, 16]",33.0,Done!,86400.12880253792,,,ERROR: Runner exceded the timeout limit,0.005118131637573242,"[-1, 35, 32, 18, 16]",30,Done!,40,"[4, 14, 20, 23, 5, 16]",7,0.364451340999949,33,0.0,0.0,0.0,,3
41,712.7398400306702,"[-1, 23, 33, 35, 37, 6, 30, 12]",28.0,Done!,1518.6339433193207,"[-1, 23, 37, 33, 35, 6, 30, 12]",28.0,Done!,707.7999613285065,"[-1, 35, 23, 33, 37, 30, 6, 12]",28.0,Done!,86400.21191596985,,,ERROR: Runner exceded the timeout limit,0.00531005859375,"[-1, 23, 22, 31, 16]",26,Done!,40,"[35, 23, 31, 6, 30]",13,0.34145619300011276,27,-1.0,-1.0,-1.0,,1
42,5505.722304344177,"[-1, 32, 13, 16, 35, 1, 0, 39, 11]",35.0,Done!,580.1779510974884,"[-1, 32, 13, 16, 35, 1, 0, 39, 11]",35.0,Done!,479.9076569080353,"[-1, 32, 13, 35, 16, 1, 0, 39, 11]",35.0,Done!,86400.13457250595,,,ERROR: Runner exceded the timeout limit,0.005441904067993164,"[-1, 19, 26]",32,Done!,40,"[3, 19, 33, 26]",6,0.2657587920000424,34,-1.0,-1.0,-1.0,,2
43,640.215249300003,"[-1, 14, 39, 0, 10, 36]",33.0,Done!,320.01122188568115,"[-1, 14, 39, 0, 10, 36]",33.0,Done!,466.90860319137573,"[-1, 14, 39, 0, 10, 36]",33.0,Done!,86400.13166308403,,,ERROR: Runner exceded the timeout limit,0.00560450553894043,"[-1, 1, 21, 26]",30,Done!,40,"[14, 22, 0, 10, 36]",8,0.3598245399998632,32,-1.0,-1.0,-1.0,,2
44,271.1619870662689,"[-1, 39, 22, 23, 25]",32.0,Done!,94.32084560394287,"[-1, 39, 22, 23, 25]",32.0,Done!,332.61604619026184,"[-1, 39, 22, 23, 25]",32.0,Done!,86400.13454890251,,,ERROR: Runner exceded the timeout limit,0.00487208366394043,"[-1, 39, 22, 23, 25]",32,Done!,40,"[39, 38, 11, 30]",8,0.3026610150000124,32,0.0,0.0,0.0,,0
45,291.48174500465393,"[-1, 36, 11, 18, 20, 30, 22, 6]",29.0,Done!,213.53333497047424,"[-1, 36, 11, 25, 20, 30]",29.0,Done!,478.4085340499878,"[-1, 36, 25, 14, 24]",29.0,Done!,86400.12933921814,,,ERROR: Runner exceded the timeout limit,0.0050356388092041016,"[-1, 11, 34, 6, 22]",24,Done!,40,"[36, 18, 11, 6, 22, 20, 30]",11,0.4219056619999719,29,0.0,0.0,0.0,,5
46,50.28840374946594,"[-1, 39, 35, 4, 31, 6, 12, 10]",35.0,Done!,89.73422050476074,"[-1, 39, 4, 31, 12, 6, 10]",35.0,Done!,544.0755665302277,"[-1, 39, 35, 4, 31, 6, 12, 10]",35.0,Done!,86400.12611937523,,,ERROR: Runner exceded the timeout limit,0.005831003189086914,"[-1, 39, 19, 31, 38, 27]",33,Done!,40,"[39, 18, 19, 28, 11, 27]",7,0.384037385000056,33,-2.0,-2.0,-2.0,,0
47,28681.83466410637,"[-1, 0, 26, 29, 4, 18, 15, 28, 31, 17]",32.0,Done!,638.0562417507172,"[-1, 0, 37, 7, 36]",32.0,Done!,463.2485365867615,"[-1, 0, 26, 29, 36, 7]",32.0,Done!,86400.31284189224,,,ERROR: Runner exceded the timeout limit,0.005431652069091797,"[-1, 35, 2, 18]",31,Done!,40,"[35, 4, 18, 30]",8,0.23863154200012104,32,0.0,0.0,0.0,,1
48,24.768089056015015,"[-1, 6, 7, 23, 2, 35, 33]",23.0,Done!,17601.84516596794,"[-1, 38, 6, 7, 33, 35]",23.0,Done!,1496.1587083339691,"[-1, 7, 38, 2, 33, 35]",23.0,Done!,86400.21960949898,,,ERROR: Runner exceded the timeout limit,0.004731416702270508,"[-1, 17, 3, 0]",19,Done!,40,"[25, 17, 14, 0]",20,0.32785852000006344,20,-3.0,-3.0,-3.0,,1
49,20.86886715888977,"[-1, 31, 10, 32, 34, 0]",25.0,Done!,5634.172864198685,"[-1, 31, 32, 10, 34, 0]",25.0,Done!,1068.128499031067,"[-1, 31, 10, 32, 34, 0]",25.0,Done!,86400.08603000641,,,ERROR: Runner exceded the timeout limit,0.0045354366302490234,"[-1, 32, 39, 4]",19,Done!,40,"[31, 10, 32, 34, 0]",15,0.3260095870000441,25,0.0,0.0,0.0,,6
50,18.74515676498413,"[-1, 4, 17, 31, 23]",31.0,Done!,163.14162302017212,"[-1, 4, 17, 31, 23]",31.0,Done!,452.505982875824,"[-1, 4, 17, 31, 23]",31.0,Done!,86400.12446498871,,,ERROR: Runner exceded the timeout limit,0.004933357238769531,"[-1, 4, 8, 5, 39]",29,Done!,40,"[4, 17, 31, 23]",9,0.2768946109999888,31,0.0,0.0,0.0,,2
