experiment,duration_dp,solution_dp,optimal_dp,duration_iqcp,solution_iqcp,optimal_iqcp,duration,solution,optimal,duration_miqcp,solution_miqcp,optimal_miqcp,duration_greedy,solution_greedy,optimal_greedy,n_nodes,solution_rollout,final_damage,time_taken,optimal_rollout,diff_dp_rollout,diff_iqcp_rollout,diff_ilp_rollout,diff_miqcp_rollout,diff_greedy_rollout
31,1909.8805825710297,"[-1, 39, 2, 5, 21, 31, 32]",38.0,52.66419768333435,"[-1, 39, 2, 31, 28, 5]",38.0,176.47686529159546,"[-1, 39, 5, 28, 21, 2]",38.0,86400.1451177597,,,0.0061647891998291016,"[-1, 2, 28, 13, 30]",35,40,"[39, 2, 31, 21, 28]",2,0.2898939000001519,38,0.0,0.0,0.0,,3
32,907.8676054477692,"[-1, 30, 22, 6, 8, 26, 35]",34.0,79.06791853904724,"[-1, 30, 22, 21, 19, 31]",34.0,293.41959142684937,"[-1, 30, 22, 21, 31, 19]",34.0,86400.08237552643,,,0.006002664566040039,"[-1, 18, 21, 25]",33,40,"[30, 22, 6, 8, 35, 26]",6,0.38683057099979123,34,0.0,0.0,0.0,,1
33,3774.7429122924805,"[-1, 26, 28, 3, 8, 4, 6, 15]",33.0,100.92551684379578,"[-1, 26, 28, 3, 8, 4, 6, 15]",33.0,302.6445698738098,"[-1, 26, 28, 3, 8, 6, 15, 4]",33.0,86400.14010310173,,,0.005621433258056641,"[-1, 29, 31, 0]",32,40,"[29, 0, 31]",8,0.19254788000012013,32,-1.0,-1.0,-1.0,,0
34,1964.590090751648,"[-1, 36, 9, 11, 33]",34.0,136.314377784729,"[-1, 36, 11, 23]",34.0,394.497843503952,"[-1, 36, 11, 23]",34.0,86400.1159043312,,,0.005652427673339844,"[-1, 36, 23, 3]",33,40,"[36, 11, 23]",6,0.19199846800006526,34,0.0,0.0,0.0,,1
35,98.03580522537231,"[-1, 16, 38, 11, 26, 35, 12, 8]",26.0,1499.5055146217346,"[-1, 21, 17, 11, 38, 39, 9]",26.0,453.13620591163635,"[-1, 21, 17, 11, 38, 39, 9]",26.0,86400.13797473907,,,0.005137205123901367,"[-1, 21, 10, 3]",24,40,"[21, 14, 10, 3]",15,0.28039621300013096,25,-1.0,-1.0,-1.0,,1
36,340.2036747932434,"[-1, 8, 38, 4]",31.0,59.5187771320343,"[-1, 8, 38, 4]",31.0,248.6628189086914,"[-1, 27, 38, 21]",31.0,86400.13342952728,,,0.004706621170043945,"[-1, 27, 38, 21]",31,40,"[27, 38, 21]",9,0.2319495790000019,31,0.0,0.0,0.0,,0
37,31.145901679992676,"[-1, 2, 7, 27, 38, 26, 29]",31.0,320.65396547317505,"[-1, 2, 7, 27, 38, 29, 26]",31.0,293.42856431007385,"[-1, 2, 7, 27, 38, 29, 26]",31.0,86400.13400745392,,,0.0062503814697265625,"[-1, 7, 27, 0, 8, 14, 33]",26,40,"[2, 7, 38, 27, 29, 26]",9,0.37275528199984365,31,0.0,0.0,0.0,,5
38,4.963154315948486,"[-1, 2, 5, 22, 13, 8, 9]",25.0,6913.665274143219,"[-1, 36, 1, 5, 22, 13, 8, 9]",25.0,546.0800726413727,"[-1, 2, 5, 22, 32, 15]",25.0,86400.12714886665,,,0.005178213119506836,"[-1, 22, 6, 39]",14,40,"[2, 5, 22, 32, 15]",15,0.3613593380000566,25,0.0,0.0,0.0,,11
39,79.18813943862915,"[-1, 0, 17, 31, 21, 7, 3]",29.0,610.8281173706055,"[-1, 0, 32, 17, 23]",29.0,276.895938873291,"[-1, 0, 32, 17, 23]",29.0,86400.12603521347,,,0.006103992462158203,"[-1, 0, 32, 17, 23]",29,40,"[0, 32, 17, 23]",11,0.26830990199982807,29,0.0,0.0,0.0,,0
40,922.6283555030823,"[-1, 4, 14, 20, 23, 5, 16]",33.0,280.59293842315674,"[-1, 4, 14, 20, 23, 5, 16]",33.0,412.89148020744324,"[-1, 4, 14, 20, 23, 5, 16]",33.0,86400.12880253792,,,0.005118131637573242,"[-1, 35, 32, 18, 16]",30,40,"[4, 14, 23, 5, 16]",8,0.3078891739999108,32,-1.0,-1.0,-1.0,,2
41,712.7398400306702,"[-1, 23, 33, 35, 37, 6, 30, 12]",28.0,1518.6339433193207,"[-1, 23, 37, 33, 35, 6, 30, 12]",28.0,707.7999613285065,"[-1, 35, 23, 33, 37, 30, 6, 12]",28.0,86400.21191596985,,,0.00531005859375,"[-1, 23, 22, 31, 16]",26,40,"[35, 23, 31, 30, 6]",13,0.3332158549999349,27,-1.0,-1.0,-1.0,,1
42,5505.722304344177,"[-1, 32, 13, 16, 35, 1, 0, 39, 11]",35.0,580.1779510974884,"[-1, 32, 13, 16, 35, 1, 0, 39, 11]",35.0,479.9076569080353,"[-1, 32, 13, 35, 16, 1, 0, 39, 11]",35.0,86400.13457250595,,,0.005441904067993164,"[-1, 19, 26]",32,40,"[3, 19, 33, 26]",6,0.23450289700008398,34,-1.0,-1.0,-1.0,,2
43,640.215249300003,"[-1, 14, 39, 0, 10, 36]",33.0,320.01122188568115,"[-1, 14, 39, 0, 10, 36]",33.0,466.90860319137573,"[-1, 14, 39, 0, 10, 36]",33.0,86400.13166308403,,,0.00560450553894043,"[-1, 1, 21, 26]",30,40,"[14, 22, 0, 10, 36]",8,0.3415914730001077,32,-1.0,-1.0,-1.0,,2
44,271.1619870662689,"[-1, 39, 22, 23, 25]",32.0,94.32084560394287,"[-1, 39, 22, 23, 25]",32.0,332.61604619026184,"[-1, 39, 22, 23, 25]",32.0,86400.13454890251,,,0.00487208366394043,"[-1, 39, 22, 23, 25]",32,40,"[39, 22, 25, 23]",8,0.2819477680000091,32,0.0,0.0,0.0,,0
45,291.48174500465393,"[-1, 36, 11, 18, 20, 30, 22, 6]",29.0,213.53333497047424,"[-1, 36, 11, 25, 20, 30]",29.0,478.4085340499878,"[-1, 36, 25, 14, 24]",29.0,86400.12933921814,,,0.0050356388092041016,"[-1, 11, 34, 6, 22]",24,40,"[36, 18, 11, 6, 22, 30, 20]",11,0.410207937999985,29,0.0,0.0,0.0,,5
46,50.28840374946594,"[-1, 39, 35, 4, 31, 6, 12, 10]",35.0,89.73422050476074,"[-1, 39, 4, 31, 12, 6, 10]",35.0,544.0755665302277,"[-1, 39, 35, 4, 31, 6, 12, 10]",35.0,86400.12611937523,,,0.005831003189086914,"[-1, 39, 19, 31, 38, 27]",33,40,"[39, 18, 19, 11, 28, 27]",7,0.3583463159998246,33,-2.0,-2.0,-2.0,,0
47,28681.83466410637,"[-1, 0, 26, 29, 4, 18, 15, 28, 31, 17]",32.0,638.0562417507172,"[-1, 0, 37, 7, 36]",32.0,463.2485365867615,"[-1, 0, 26, 29, 36, 7]",32.0,86400.31284189224,,,0.005431652069091797,"[-1, 35, 2, 18]",31,40,"[13, 7, 36]",9,0.20543094799995743,31,-1.0,-1.0,-1.0,,0
48,24.768089056015015,"[-1, 6, 7, 23, 2, 35, 33]",23.0,17601.84516596794,"[-1, 38, 6, 7, 33, 35]",23.0,1496.1587083339691,"[-1, 7, 38, 2, 33, 35]",23.0,86400.21960949898,,,0.004731416702270508,"[-1, 17, 3, 0]",19,40,"[7, 38, 2, 33, 35]",17,0.3693181730000106,23,0.0,0.0,0.0,,4
49,20.86886715888977,"[-1, 31, 10, 32, 34, 0]",25.0,5634.172864198685,"[-1, 31, 32, 10, 34, 0]",25.0,1068.128499031067,"[-1, 31, 10, 32, 34, 0]",25.0,86400.08603000641,,,0.0045354366302490234,"[-1, 32, 39, 4]",19,40,"[31, 10, 32, 34, 0]",15,0.3155850760001613,25,0.0,0.0,0.0,,6
50,18.74515676498413,"[-1, 4, 17, 31, 23]",31.0,163.14162302017212,"[-1, 4, 17, 31, 23]",31.0,452.505982875824,"[-1, 4, 17, 31, 23]",31.0,86400.12446498871,,,0.004933357238769531,"[-1, 4, 8, 5, 39]",29,40,"[4, 17, 31, 23]",9,0.2580473290001919,31,0.0,0.0,0.0,,2
