experiment,duration_dp,solution_dp,optimal_dp,message_dp,duration_iqcp,solution_iqcp,optimal_iqcp,message_iqcp,duration,solution,optimal,message,duration_miqcp,solution_miqcp,optimal_miqcp,message_miqcp,duration_greedy,solution_greedy,optimal_greedy,message_greedy,n_nodes,solution_rollout,final_damage,time_taken,optimal_rollout,diff_dp_rollout,diff_iqcp_rollout,diff_ilp_rollout,diff_miqcp_rollout,diff_greedy_rollout
21,,,,,148.48570466041565,"[-1, 2, 6, 36]",46.0,Done!,742.7717871665955,"[-1, 2, 6, 36]",46.0,Done!,,,,,0.005364179611206055,"[-1, 2, 6, 36]",46,Done!,50,"[0, 48, 42, 5, 9]",9,39.27206860100023,41,,-5.0,-5.0,,-5
22,,,,,68.10165238380432,"[-1, 20, 49, 8]",49.0,Done!,188.78203177452087,"[-1, 20, 49, 8]",49.0,Done!,,,,,0.0055255889892578125,"[-1, 8, 20]",48,Done!,50,"[2, 25, 0, 19, 24, 3, 42]",9,61.290996019999966,41,,-8.0,-8.0,,-7
23,,,,,163.8062858581543,"[-1, 22, 35, 34, 6]",48.0,Done!,625.0752663612366,"[-1, 22, 35, 44, 4]",48.0,Done!,,,,,0.0056612491607666016,"[-1, 22, 34, 6]",47,Done!,50,"[20, 46, 4]",6,20.27368137099984,44,,-4.0,-4.0,,-3
24,,,,,132.75861263275146,"[-1, 5, 6, 25, 21, 37, 40]",48.0,Done!,429.6481246948242,"[-1, 5, 6, 25, 21, 40, 37]",48.0,Done!,,,,,0.006070613861083984,"[-1, 5, 21, 25, 37, 40]",46,Done!,50,"[5, 0, 40, 37, 21, 41]",5,14.286884289999762,45,,-3.0,-3.0,,-1
25,,,,,671.9995968341827,"[-1, 16, 1, 8, 35]",44.0,Done!,2373.3998057842255,"[-1, 1, 8, 4, 40, 38, 11]",44.0,Done!,,,,,0.005779743194580078,"[-1, 8, 35]",42,Done!,50,"[0, 41, 38, 11, 15, 7]",12,23.584259258000202,38,,-6.0,-6.0,,-4
26,,,,,130.10777974128723,"[-1, 12, 36, 26]",45.0,Done!,602.7177453041077,"[-1, 12, 36, 26]",45.0,Done!,,,,,0.005635738372802734,"[-1, 12, 26]",44,Done!,50,"[12, 36, 26]",5,23.619392184999924,45,,0.0,0.0,,1
27,,,,,163.0827407836914,"[-1, 19, 1]",46.0,Done!,833.2176752090454,"[-1, 19, 1]",46.0,Done!,,,,,0.005720376968383789,"[-1, 19, 1]",46,Done!,50,"[0, 38, 37, 29]",8,23.651260389000072,42,,-4.0,-4.0,,-4
28,,,,,133.62734746932983,"[-1, 1, 14, 11, 2]",47.0,Done!,517.2774863243103,"[-1, 1, 14, 11, 2]",47.0,Done!,,,,,0.00579380989074707,"[-1, 1, 2, 14]",46,Done!,50,"[2, 11, 7, 35]",5,39.932802388000255,45,,-2.0,-2.0,,-1
29,86400.2552587986,,,ERROR: Runner exceded the timeout limit,116.9343101978302,"[-1, 32, 6, 35]",47.0,Done!,448.17441725730896,"[-1, 32, 35, 6]",47.0,Done!,,,,,0.005574226379394531,"[-1, 32, 35, 6]",47,Done!,50,"[47, 26]",3,35.64401049600019,47,,0.0,0.0,,0
30,86400.26027560234,,,ERROR: Runner exceded the timeout limit,155.3806722164154,"[-1, 8, 48, 38]",44.0,Done!,761.4939849376678,"[-1, 8, 48, 38]",44.0,Done!,,,,,0.00602412223815918,"[-1, 8, 48, 38]",44,Done!,50,"[0, 31, 28, 43]",13,36.70087507500011,37,,-7.0,-7.0,,-7
31,,,,,636.51029920578,"[-1, 73, 6]",71.0,Done!,829.7664711475372,,,ERROR: ,,,,,0.00725102424621582,"[-1, 73, 6]",71,Done!,75,"[73, 6]",4,63.17930975499985,71,,0.0,,,0
32,,,,,801.9834418296814,"[-1, 5, 12]",71.0,Done!,990.5053334236145,,,ERROR: ,,,,,0.007124900817871094,"[-1, 5, 12]",71,Done!,75,"[0, 5, 19]",5,46.688054204999844,70,,-1.0,,,-1
33,,,,,862.7642335891724,"[-1, 68, 30, 53]",72.0,Done!,1056.4614882469177,,,ERROR: ,,,,,0.007498025894165039,"[-1, 68, 53]",71,Done!,75,"[74, 22, 54, 30, 38]",5,58.4847182489998,70,,-2.0,,,-1
34,,,,,797.5779385566711,"[-1, 56, 45, 73]",74.0,Done!,997.3909087181091,,,ERROR: ,,,,,0.007439851760864258,"[-1, 73, 56, 45]",74,Done!,75,"[0, 33, 4, 42]",5,68.3275203369999,70,,-4.0,,,-4
